ID,sex,age
OAS1_0406,F,25
OAS1_0407,F,55
OAS1_0408,F,22
OAS1_0409,M,34
OAS1_0410,F,23
OAS1_0413,F,25
OAS1_0415,F,21
OAS1_0416,F,23
OAS1_0417,F,30
OAS1_0419,F,21
OAS1_0420,F,22
OAS1_0421,F,22
OAS1_0422,F,69
OAS1_0423,M,75
OAS1_0426,F,82
OAS1_0429,F,45
OAS1_0431,F,22
OAS1_0433,M,58
OAS1_0434,F,50
OAS1_0435,M,23
OAS1_0437,F,22
OAS1_0438,F,66
OAS1_0439,M,21
OAS1_0442,F,23
OAS1_0443,F,52
OAS1_0444,F,30
OAS1_0445,F,90
OAS1_0446,F,80
OAS1_0448,F,22
OAS1_0449,F,71
OAS1_0450,M,19
OAS1_0455,F,61
OAS1_0456,M,61
OAS1_0457,F,62
